"car_id","car_make","car_model","car_gears","car_fuel_type","car_transmission_type"
"6d2eb2a6f38374886ecfd9553e2611da",BMW,"320i","8",Unknown,Automatic
fe46e6df1a9588fddb3e0c6e2a9adec6,BMW,"320i","8",Unknown,Automatic
"0bceb069226f4afa048b5be3d54b6fc9",FIAT,"500","5",Unknown,Manual
"5c57e09175e12b5512fb7790ae77cd4c",FIAT,"500","5",Unknown,Manual
"0beb16aa99fbfc9d3abb032b54909ff7",FIAT,"500","5",Unknown,Manual
c5058d28004898684b3cd3127891554e,FIAT,"500","5",Unknown,Manual
"4d91dd91b69a76b723f67ea80c6f04a4",AUDI,A3,"6",Unknown,Automated Manual- Selectable (e.g. Automated Manual with paddles)
"1dbc5a4e02939876029708cc3fb165a9",AUDI,A3,"6",Unknown,Automated Manual- Selectable (e.g. Automated Manual with paddles)
"0d7b9945d6a7362c7fd3518f41ee4bed",AUDI,A3,"6",Unknown,Automated Manual- Selectable (e.g. Automated Manual with paddles)
"88ece532f6b1b1b67c3d2361f7d7a70f",AUDI,A3,"6",Unknown,Automated Manual- Selectable (e.g. Automated Manual with paddles)
"7e2aab9a48fc2fb0eaad9c64bd08570c",AUDI,A3,"6",Unknown,Automated Manual- Selectable (e.g. Automated Manual with paddles)
"134ea032fccaf7812ed6ae54f57ce455",AUDI,A3,"6",Unknown,Automated Manual- Selectable (e.g. Automated Manual with paddles)
"81ce6180e10979374a702d525ee24a35",AUDI,A3,"6",Unknown,Automated Manual- Selectable (e.g. Automated Manual with paddles)
"431019214a0466711b62881868caab1d",AUDI,A3,"6",Unknown,Automated Manual- Selectable (e.g. Automated Manual with paddles)
a611af56dae9b9b153a26c177a0fd2f3,AUDI,A3,"6",Unknown,Automated Manual- Selectable (e.g. Automated Manual with paddles)
b4527d926f264f15aa78cc0cde742a3a,AUDI,A3,"6",Unknown,Automated Manual- Selectable (e.g. Automated Manual with paddles)
ce6f178fcb9982207915ddc6c082e7d5,AUDI,A3,"6",Unknown,Automated Manual- Selectable (e.g. Automated Manual with paddles)
"093753e1f57436d826e784286c5d05e0",AUDI,A3,"6",Unknown,Automated Manual- Selectable (e.g. Automated Manual with paddles)
"1ef649771e50a084ad1b068011b9c67d",AUDI,A3,"6",Unknown,Automated Manual- Selectable (e.g. Automated Manual with paddles)
fc3c75c2a780791ce52beadc9cc094c2,AUDI,A3,"6",Unknown,Automated Manual- Selectable (e.g. Automated Manual with paddles)
